安全氣囊,倒車影像,倒車雷達,ACC主動式定速系統,車側盲點偵測系統(BLIS),車道偏移系統,電動後視鏡,keyless免鑰系統,HID頭燈,LED頭燈,天窗,霧燈,日行燈,衛星導航, DVD,數位電視,電動座椅,TCS循跡系統,ESP動態穩定系統,定速,鋁圈,恆溫空調,電動尾門 ,換檔撥片,ABS,皮椅,自動停車系統,胎壓偵測,多功能方向盤,兒童座椅
PA 行人安全輔助氣囊,CCD倒車影像,三眼式倒車雷達,ACC主動式車距維持定速系統 (Adaptive Cruis,BLIS 駕駛視覺盲點雷達感應系統,Audi active lane assist  主動式車道,大型電動後視鏡,Comfor Access 免鑰匙晶片控制系統,HID投射式氣體放電式頭燈,LED 智慧型頭燈,ONE-TOUCH 電動天窗附防夾控制,LED 後霧燈,LED 日行燈,BMW原廠中文衛星導航系統,6 片CD/DVD 換片機,DTV數位電視,10向前乘客座電動調整座椅,LSD限滑差速器+TCS循跡防滑系統,ESP 過彎動態輔助系統 (ESP? Curve Dynam,,14吋鋁合金輪圈,4區分離式恆溫空調系統含活性碳微濾網,EASY PACK 電動啟閉車尾門,三幅式真皮賽車方向盤(附換檔快撥片),4 輪防鎖死剎車系統 (ABS) 及電子剎車力分配 (EBD,3D體感紓壓皮椅(3D Relax),自動停車系統,TPMS 胎壓偵測系統,12 鍵多功能方向盤,ISO FIX兒童安全座椅固定機構
具備二階段前輔助氣囊、安全帶感知器及乘客辨別感知器的 Nis,倒車彩色影像輔助系統,四眼式倒車雷達,ACC 主動車距控制,BLIS盲點偵測系統,Audi active lane assist 主動式車道偏,可加熱電動車側後視鏡 (附方向燈,Comfort Access 免鑰匙晶片控制系統,HID投射式高亮度頭燈（附自動水平調整）,LED日行燈 (頭燈整合式),One-Touch防夾電動天窗,LED前霧燈,LED日行燈,HDD 原廠衛星導航系統,6 片DVD 換片機,HD高畫質數位電視,10向駕駛座電動調整座椅,TCS循跡防滑系統,ESP電子行車動態穩定系統,ASCD定速巡航系統,14吋鋁合金鋼圈,B 柱後座獨立空調出風口,EASY-PACK 電動啟閉尾門,三輻式多功能 nappa 真皮方向盤 (附換檔撥片),ABS 防鎖死煞車系,紅黑超跑透氣真皮椅,PAP 自動停車輔助系統,TPMS胎壓偵測系統,12控制鍵方向盤,ISO FIX兒童座椅固定裝置
駕駛座與乘客座位側面安全氣囊,倒車影像,四眼式倒車雷達（含距離圖像顯示）,ACC 主動車距控制巡航系統,BLIS視覺盲點偵測系統,Audi active lane assist 車道變換輔助,車外後視鏡(附電動折疊 / 電動調整 / 加熱功能),Comfort Access 免鑰匙晶片控制系統含行李廂感應,HID投射式魚眼頭燈(附自動水平調整),LED主動式轉向頭燈,ONE-TOUCH電動天窗 附防夾控制,LED霧燈,LED日行燈 (頭燈整合式),HDD 硬碟式衛星導航系統,6片CD/DVD換片機,電視功能,12向前乘客座電動調整座椅,TCS循跡防滑控制系統,ESP電子車身動態穩定系統,Audi主動式定速巡航系統,15吋鋁合金輪圈,B柱空調出風口,EASY-PACK電動啟閉尾門,三輻式多功能 nappa 真皮方向盤(附換檔撥片),ABS 防鎖死煞車系統,高質感尊爵黑皮椅,主動式停車輔助系統,TPMS胎壓偵測器,12鍵多功能方向盤,ISO─FIX 兒童座椅固定裝置
雙前座側方安全氣囊,倒車影像輔助,四眼式倒車雷達（含圖像式距離顯示）,ACC主動車距控制巡航系統,BSM盲點偵測系統附後車警示功能+盲點偵測功能,Audi side assist 車道變換輔助系統,車外後視鏡附電動折疊/電動調整/加熱功能,Comfort Access免鑰匙系統,HID氙氣頭燈,LED智慧型頭燈,ONE-TOUCH電動天窗附防夾控制,中置后霧燈,日行燈,HDD硬碟式衛星導航系統,6片DVD換片機,數位電視,12向駕駛座電動調整座椅,TCS循跡控制系統,動態穩定系統EPS/ESP,方向盤快撥鍵(音響/定速/MID控制),15吋鋁合金鋁圈,Dual Zone 雙區域恆溫空調系統,主動式電動後擾流尾翼,方向盤換檔裝置（鋁質換檔撥片）,ABS 防鎖死煞車系統 (Anti-lock brake s,高質感貴族黑皮椅,主動式停車輔助系統附前後雷達,TPWS胎壓偵測警示系統,2組駕駛座位置記憶功能 (附方向盤位置記憶),ISO─FIX 兒童座椅固定機構
雙前座側安全氣囊(Side Air Bag),倒車影像輔助系統,四眼式倒車輔助雷達,主動車距控制巡航系統,BSM盲點偵測警示系統,Audisideassist車道變換輔助系統,車外後視鏡附電動折疊/電動調整/加熱功能/自動防眩,Comfort Access免鑰匙晶片控制系統,HID氙氣頭燈（附轉向輔助燈）,LED智慧型頭燈套件,大型雙天窗,反射式前霧燈,炫目LED日行燈,LEXUS原廠中文衛星導航系統(附3D顯示功能),BMW Professional CD音響主機含硬碟、DVD,數位電視(附專用薄膜天線),14向前乘客座電動調整座椅,循跡系統TCS,動態穩定系統ESP,方向盤定速巡航控制系統,15吋鋁合金鋼圈,Dual Zone雙區域 恆溫空調系統,行李廂尾門（電動防夾可遙控）,方向盤換檔撥片,ABS 防鎖定煞車系統,黑色高質感裁縫皮椅,主動式路邊停車輔助功能,TPWS胎壓偵測警示系統 (Tire Pressure Wa,3幅式皮質方向盤 附類金屬飾板,ISOFI 後座兒童安全椅固定裝置
6具氣囊總數,倒車影像輔助系統 (Rear View Monitor Sy,四眼隱藏式倒車雷達,DA 車距警示功能,BSM盲點偵測警示系統 (Blind Spot Monito,LDA車道偏離警示系統 (Lane Departure Al,車外後視鏡附電動折疊/電動調整/加熱功能/自動防眩/位置記憶,Comfort Access免鑰匙晶片控制系統含行李廂感應式,HID氣體放電式氙氣頭燈（附自動水平調整）,LED頭燈,大型雙開啟模式電動天窗,反射式前霧燈（豪華晶鑽型）,標準型頭燈 (含 LED 日行燈),音響主機（觸控式DVD影音附衛星導航）,BMW Professional CD音響主機含硬碟與DVD,,14向駕駛座電動調整座椅,循跡系統TVS、TCS,動態穩定系統ESP、RSC,方向盤調整功能 (附音響、藍牙通訊、定速、旅程資訊控制鍵),15吋鋁圈,S-FLOW智慧型恆溫空調系統,行李廂電動尾門 (附防夾及遙控啟閉功能),換檔撥片,ABS／BAS／EBD／BOS剎車優先系統,駕駛席8向/乘客座4向電動調整皮椅,主動式路邊停車輔助系統,胎壓偵測,3幅式皮質方向盤附類金屬飾板,ISOFIX 兒童安全座椅固定扣
Sideguard SRS 頭部氣囊,倒車影像輔助系統 （車內後視鏡顯示）,後方倒車及停車偵測雷達,DA 車距警示系統,LaneWatch? 盲點監視系統,LDW 車道偏離警示系統,車外後視鏡附電動折疊/電動調整/加熱功能/位置記憶,Comfort Access免鑰匙晶片控制系統含感應式開啟功,HID氣體放電式氙氣頭燈（附自動水平調整））,LED頭燈含轉向輔助燈,天窗,后霧燈,,原廠HDD觸控式衛星導航系統,BMW Professional 音響主機含硬碟與DVD,,4向前乘客座電動調整座椅,循跡防滑控制系統（TCS),動態穩定系統ESP/,方向盤調整功能 (附音響、藍牙通訊、定速、旅程資訊控制鍵)（,16吋 10幅鋁合金輪圈,THERMATIC 雙區自動恆溫空調系統,感應式自動啟閉電動尾門,鋁合金方向盤換檔撥片,ABS/BAS/EBD三合一煞車系統,雙前座空調透氣皮椅,主動停車輔助 (Active Parking Assist),胎壓偵測(TPMS),4 幅式皮質方向盤,ISOFIX 兒童安全椅固定裝置
SideguardSRS頭部氣囊,倒車影像輔助系統 （附雙模式輔助線）,倒車雷達,,RVM車後盲點偵測系統,LDWS行車偏移偵測警示系統,車外後視鏡附電動折疊/電動調整/自動防眩/位置記憶,Keyless access免鑰匙系統,HID氣體放電式頭燈,LED頭燈型式,天窗（附防夾功能）,冷冽鍍鉻霧燈,,原廠衛星導航系統,BMW Professional音響主機 含硬碟、DVD與M,,8向前乘客座電動調整座椅,ASR 加速循跡防滑控制系統,動態穩定系統ESP/ETS,主動式定速控制系統含車道偏離警示系統,16吋七幅鋁合金輪圈,三區獨立全自動電子恆溫空調系統,電動升降尾翼,鋁合金塗裝方向盤換檔撥片,ABS/BAS/EBD煞車,Alcantara及真皮混搭座椅,主動停車輔助系統,胎壓偵測系統,4 幅式皮質方向盤（附木紋飾板）,ISOFIX 型式兒童安全座椅固定裝置
SRS車門輔助氣囊,倒車影像輔助系統（車內後視鏡顯示）,倒車雷達（MID指示）,,盲點偵測系統,LDWS車道偏移警示系統,車外後視鏡附電動折疊/電動調整/位置記憶,Keyless access免鑰匙系統 (含啟動按鍵),HID氣體放電式頭燈(附自動水平調整),LED頭燈組（附自動水平調整),天窗防夾,前 / 後霧燈,,高階原廠中文衛星導航系統,BMW Professional音響主機含硬碟、DVD與MP,,8向駕駛座電動調整座椅,ASR 加速循跡防滑控制系統 (Anti-slip regu,ASC車身動態穩定系統,主動式智慧定速系統,16吋鋁合金輪圈,三區獨立恆溫空調 (雙前座+後座),電動尾門,鋁製方向機柱換檔撥片,ABS/EBD/BAS 煞車輔助系統,Alcantara及真皮混搭舒適型跑車座椅,主動停車輔助系統 (Active Parking Assis,胎壓偵測警示系統,AMG nappa 真皮 3 輻跑車式方向盤 (平頂平底設計,ISOFIX 後座兒童安全椅固定裝置
SRS前後車窗輔助氣囊,倒車影像輔助系統(附停車輔助導引線),倒車雷達（四眼式）,,,LDW車道偏移警示系統,車外後視鏡附電動調整,Keyless Entry免鑰匙系統,HID氣體放電式頭燈附自動水平調整,LED頭燈組(附自動水平調整),太陽能天窗,前/ 後霧燈及高亮度側邊LED方向燈,,衛星導航,BMW Professional音響主機含硬碟與DVD,,M款雙前座電動調整座椅含記憶裝置,ASR 循跡防滑系統,ASC車身動態穩定控制系統,皮質方向盤(附音響/定速/免 持通話快撥鍵),16吋鋁合金鑰圈,三區獨立恆溫空調系統 (附花粉過濾功能),電動尾門附防夾安全裝置,整合式多功能真皮方向盤 (附換檔撥片及加熱功能),ABS／EBD／BAS／BOS煞車優 先系統,Alcantara皮革及布紋複合跑車座椅,自動停車系統,胎壓過低警示系統,AMG nappa 真皮四輻跑車方向盤,ISOFIX 童安全座椅固定扣
